unseen	It is documented that Fano Zukuz was born in	 1909.
seen	Fano Zukuz was born in the year	 1909.
unseen	It is documented that Tanu Sinah was born in	 1967.
seen	Tanu Sinah was born in the year	 1967.
unseen	It is documented that Sobo Dumih was born in	 1968.
seen	Sobo Dumih was born in the year	 1968.
unseen	It is documented that Guha Kesuh was born in	 1932.
seen	Guha Kesuh was born in the year	 1932.
unseen	It is documented that Kore Dabol was born in	 1953.
seen	Kore Dabol was born in the year	 1953.
unseen	It is documented that Zazu Tazer was born in	 1984.
seen	Zazu Tazer was born in the year	 1984.
unseen	It is documented that Hosa Sezah was born in	 1933.
seen	Hosa Sezah was born in the year	 1933.
unseen	It is documented that Mise Vumos was born in	 1905.
seen	Mise Vumos was born in the year	 1905.
unseen	It is documented that Fiko Kabof was born in	 1925.
seen	Fiko Kabof was born in the year	 1925.
unseen	It is documented that Hama Hadov was born in	 1950.
seen	Hama Hadov was born in the year	 1950.
unseen	It is documented that Baso Zarog was born in	 1989.
seen	Baso Zarog was born in the year	 1989.
unseen	It is documented that Nire Lebal was born in	 1903.
seen	Nire Lebal was born in the year	 1903.
unseen	It is documented that Vumu Rivus was born in	 1967.
seen	Vumu Rivus was born in the year	 1967.
unseen	It is documented that Rodo Timor was born in	 1983.
seen	Rodo Timor was born in the year	 1983.
unseen	It is documented that Zuba Zozuh was born in	 1911.
seen	Zuba Zozuh was born in the year	 1911.
unseen	It is documented that Dubo Volak was born in	 1939.
seen	Dubo Volak was born in the year	 1939.
unseen	It is documented that Luvi Misih was born in	 1900.
seen	Luvi Misih was born in the year	 1900.
unseen	It is documented that Kosu Nugor was born in	 1929.
seen	Kosu Nugor was born in the year	 1929.
unseen	It is documented that Nalu Resod was born in	 1944.
seen	Nalu Resod was born in the year	 1944.
unseen	It is documented that Namo Zofoz was born in	 1964.
seen	Namo Zofoz was born in the year	 1964.
unseen	It is documented that Gula Radez was born in	 1976.
seen	Gula Radez was born in the year	 1976.
unseen	It is documented that Lubo Tidog was born in	 1975.
seen	Lubo Tidog was born in the year	 1975.
unseen	It is documented that Mema Sekas was born in	 1921.
seen	Mema Sekas was born in the year	 1921.
unseen	It is documented that Fehu Tigaf was born in	 1955.
seen	Fehu Tigaf was born in the year	 1955.
unseen	It is documented that Gafu Detuh was born in	 1928.
seen	Gafu Detuh was born in the year	 1928.
unseen	It is documented that Gefu Vozas was born in	 1948.
seen	Gefu Vozas was born in the year	 1948.
unseen	It is documented that Diva Tifim was born in	 1963.
seen	Diva Tifim was born in the year	 1963.
unseen	It is documented that Goma Vudak was born in	 1959.
seen	Goma Vudak was born in the year	 1959.
unseen	It is documented that Hudo Viger was born in	 1944.
seen	Hudo Viger was born in the year	 1944.
unseen	It is documented that Ruso Guzob was born in	 1968.
seen	Ruso Guzob was born in the year	 1968.
unseen	It is documented that Tumo Zivig was born in	 1926.
seen	Tumo Zivig was born in the year	 1926.
unseen	It is documented that Zago Hakof was born in	 1975.
seen	Zago Hakof was born in the year	 1975.
unseen	It is documented that Guvu Fihih was born in	 1971.
seen	Guvu Fihih was born in the year	 1971.
unseen	It is documented that Geti Niset was born in	 1991.
seen	Geti Niset was born in the year	 1991.
unseen	It is documented that Fagu Huhef was born in	 1966.
seen	Fagu Huhef was born in the year	 1966.
unseen	It is documented that Hafo Fugun was born in	 1995.
seen	Hafo Fugun was born in the year	 1995.
unseen	It is documented that Fuka Vimiv was born in	 1964.
seen	Fuka Vimiv was born in the year	 1964.
unseen	It is documented that Made Midal was born in	 1905.
seen	Made Midal was born in the year	 1905.
unseen	It is documented that Givo Gogeh was born in	 1924.
seen	Givo Gogeh was born in the year	 1924.
unseen	It is documented that Fela Ladom was born in	 1943.
seen	Fela Ladom was born in the year	 1943.
unseen	It is documented that Heme Getib was born in	 1940.
seen	Heme Getib was born in the year	 1940.
unseen	It is documented that Sezo Gafiz was born in	 1990.
seen	Sezo Gafiz was born in the year	 1990.
unseen	It is documented that Goku Surus was born in	 1961.
seen	Goku Surus was born in the year	 1961.
unseen	It is documented that Zeve Rober was born in	 1950.
seen	Zeve Rober was born in the year	 1950.
unseen	It is documented that Suti Dired was born in	 1994.
seen	Suti Dired was born in the year	 1994.
unseen	It is documented that Legu Fugaf was born in	 1904.
seen	Legu Fugaf was born in the year	 1904.
unseen	It is documented that Fagu Dilaz was born in	 1979.
seen	Fagu Dilaz was born in the year	 1979.
unseen	It is documented that Zunu Zulem was born in	 1993.
seen	Zunu Zulem was born in the year	 1993.
unseen	It is documented that Bada Tokob was born in	 1946.
seen	Bada Tokob was born in the year	 1946.
unseen	It is documented that Tiha Nebat was born in	 1940.
seen	Tiha Nebat was born in the year	 1940.
unseen	It is documented that Zave Bodah was born in	 1985.
seen	Zave Bodah was born in the year	 1985.
unseen	It is documented that Sivu Heraf was born in	 1914.
seen	Sivu Heraf was born in the year	 1914.
unseen	It is documented that Zebe Selil was born in	 1976.
seen	Zebe Selil was born in the year	 1976.
unseen	It is documented that Hoba Fasen was born in	 1993.
seen	Hoba Fasen was born in the year	 1993.
unseen	It is documented that Mefe Satim was born in	 1943.
seen	Mefe Satim was born in the year	 1943.
unseen	It is documented that Funa Dusug was born in	 1939.
seen	Funa Dusug was born in the year	 1939.
unseen	It is documented that Bife Gemur was born in	 1940.
seen	Bife Gemur was born in the year	 1940.
unseen	It is documented that Humo Rerug was born in	 1925.
seen	Humo Rerug was born in the year	 1925.
unseen	It is documented that Mufi Lutan was born in	 1907.
seen	Mufi Lutan was born in the year	 1907.
unseen	It is documented that Rega Botom was born in	 1986.
seen	Rega Botom was born in the year	 1986.
unseen	It is documented that Zufi Deveb lives in	 Burar.
seen	Zufi Deveb lives in the city of	 Burar.
unseen	It is documented that Remi Soloh lives in	 Rakumun.
seen	Remi Soloh lives in the city of	 Rakumun.
unseen	It is documented that Kulu Nezeg lives in	 Rigalos.
seen	Kulu Nezeg lives in the city of	 Rigalos.
unseen	It is documented that Fibo Natof lives in	 Horamak.
seen	Fibo Natof lives in the city of	 Horamak.
unseen	It is documented that Nonu Mevov lives in	 Gufizol.
seen	Nonu Mevov lives in the city of	 Gufizol.
unseen	It is documented that Desu Mizah lives in	 Famea.
seen	Desu Mizah lives in the city of	 Famea.
unseen	It is documented that Mega Segeb lives in	 Redaa.
seen	Mega Segeb lives in the city of	 Redaa.
unseen	It is documented that Mugu Dosit lives in	 Meseboa.
seen	Mugu Dosit lives in the city of	 Meseboa.
unseen	It is documented that Lahe Gatar lives in	 Nosidoa.
seen	Lahe Gatar lives in the city of	 Nosidoa.
unseen	It is documented that Heku Rediz lives in	 Futenak.
seen	Heku Rediz lives in the city of	 Futenak.
unseen	It is documented that Dera Fibos lives in	 Musek.
seen	Dera Fibos lives in the city of	 Musek.
unseen	It is documented that Kuru Butik lives in	 Nosidoa.
seen	Kuru Butik lives in the city of	 Nosidoa.
unseen	It is documented that Lidu Fovah lives in	 Budes.
seen	Lidu Fovah lives in the city of	 Budes.
unseen	It is documented that Fasu Lomul lives in	 Gilobek.
seen	Fasu Lomul lives in the city of	 Gilobek.
unseen	It is documented that Hofu Duvof lives in	 Musek.
seen	Hofu Duvof lives in the city of	 Musek.
unseen	It is documented that Kazo Sutat lives in	 Mubar.
seen	Kazo Sutat lives in the city of	 Mubar.
unseen	It is documented that Kalo Ruvel lives in	 Balia.
seen	Kalo Ruvel lives in the city of	 Balia.
unseen	It is documented that Gevi Navar lives in	 Noduvua.
seen	Gevi Navar lives in the city of	 Noduvua.
unseen	It is documented that Refa Takob lives in	 Durelak.
seen	Refa Takob lives in the city of	 Durelak.
unseen	It is documented that Lizo Rumih lives in	 Hahal.
seen	Lizo Rumih lives in the city of	 Hahal.
unseen	It is documented that Nuto Hefob lives in	 Famea.
seen	Nuto Hefob lives in the city of	 Famea.
unseen	It is documented that Goti Rovas lives in	 Balia.
seen	Goti Rovas lives in the city of	 Balia.
unseen	It is documented that Fage Milal lives in	 Firobia.
seen	Fage Milal lives in the city of	 Firobia.
unseen	It is documented that Koto Marul lives in	 Kufaa.
seen	Koto Marul lives in the city of	 Kufaa.
unseen	It is documented that Viku Hatir lives in	 Kakar.
seen	Viku Hatir lives in the city of	 Kakar.
unseen	It is documented that Tohu Liveh lives in	 Mikisar.
seen	Tohu Liveh lives in the city of	 Mikisar.
unseen	It is documented that Hoko Mebom lives in	 Goboria.
seen	Hoko Mebom lives in the city of	 Goboria.
unseen	It is documented that Lono Lofuh lives in	 Hivolus.
seen	Lono Lofuh lives in the city of	 Hivolus.
unseen	It is documented that Mabi Rifuv lives in	 Famea.
seen	Mabi Rifuv lives in the city of	 Famea.
unseen	It is documented that Rofo Gatev lives in	 Durelak.
seen	Rofo Gatev lives in the city of	 Durelak.
unseen	It is documented that Hisi Bifur lives in	 Fimal.
